Term,"exclude (yes, maybe) initial","class (disorder, method, non-human, patients/disorder, other)",comment (initial),comment (Anna),comment (Peder),exclude - final
mirror,,,,,,
mirror function,,,,,,
mirror mechanism,,,,,,
mirror network,,,,,,
mirror neuron,,,,,,
mirror neuron system,,,,,,
mirror neuron system (mns),,,,,,
mirror neurones,,,,,,
mirror neurons,,,,,,
mirror neurons system,,,,,,
mirror self-recognition,,,,,,
mirror system,,,,,,
mirror systems,,,,,,
mirror writing,,,,,,
mirror-image,,,,,,
mirror-neuron,,,,,,
mirror-neuron system,,,,,,
mirror-touch,,,,,,
mirroring,,,,,,
misconception,,,,,,
misfortune,,,,,,
misidentification,,,,,,
misinformation,,,,,,
mismatch negativity,,,,,,
missing women,,,,,,
mixed blocked and event-related,,,,,,
mixed effect model,,,,,,
mixed reality,,,,,,
mixed-effects model,,,,,,
mixed-sex cooperation,,,,,,
mixed-strategy game,,,,,,
mixture,,,,,,
mixtures,,,,,,
mmn,,,,,,
mni,,,,,,
mni space,,,,,,
mobile health,,,,,,
mobile sensing,,,,,,
mobilization,,,,,,
mock crime,,,,,,
mock jurors,,,,,,
mock-crime,,,,,,
modality,,,,,,
modality-independent,,,,,,
mode,,,,,,
mode network,,,,,,
mode network activity,,,,,,
model,,,,,,
model evidence,,,,,,
model order selection,,,,,,
model selection,,,,,,
model-based fmri,,,,,,
model-driven fmri,,,,,,
models,,,,,,
moderate,,,,,,
moderating role,,,,,,
moderator,,,,,,
moderators,,,,,,
modified version,,,,,,
modular organization,,,,,,
modularity,,,,,,
modulate,,,,,,
modulating activity,,,,,,
modulation,,,,,,
module,,,,,,
mofc,,,,,,
molecular-basis,,,,,,
molesters,,,,,,
monetary,,,,,,
monetary gains,,,,,,
monetary incentive,,,,,,
monetary reward,,,,,,
monetary rewards,,,,,,
money,,,,,,
monitoring hypothesis,,,,,,
monoamine,,,,,,
monoamine-oxidase,,,,,,
monogamy,,,,,,
monosodium glutamate,,,,,,
monosodium l-glutamate,,,,,,
monte carlo simulation,,,,,,
montreal cognitive assessment,,,,,,
mood,,,,,,
mood states,,,,,,
moods lead,,,,,,
moral,,,,,,
moral beauty,,,,,,
moral circuits,,,,,,
moral cognition,,,,,,
moral concern,,,,,,
moral decision-making,,,,,,
moral decisions,,,,,,
moral development,,,,,,
moral dilemma,,,,,,
moral dilemmas,,,,,,
moral disgust,,,,,,
moral elevation,,,,,,
moral emotion,,,,,,
moral emotions,,,,,,
moral evaluation,,,,,,
moral judgement,,,,,,
moral judgment,,,,,,
moral judgment and decision making,,,,,,
moral judgment/,,,,,,
moral judgments,,,,,,
moral naturalism,,,,,,
moral norm,,,,,,
moral psychlogy,,,,,,
moral psychology,,,,,,
moral reasoning,,,,,,
moral self,,,,,,
moral sensitivity,,,,,,
moral status,,,,,,
moral violations,,,,,,
morality,,,,,,
morphine consumption,,,,,,
morpho-syntactic complexity,,,,,,
morphological complexity,,,,,,
morphological decomposition,,,,,,
morphological processing,,,,,,
morphologically rich language,,,,,,
morphology,,,,,,
mortality,,,,,,
mortality salience,,,,,,
mother,,,,,,
mother-child dyads,,,,,,
mother-child interaction,,,,,,
mother-infant interaction,,,,,,
mothers,,,,,,
motion,,,,,,
motion artifact,,,,,,
motion correction,,,,,,
motion cues,,,,,,
motion energy,,,,,,
motion extrapolation,,,,,,
motion perception,,,,,,
motion smoothness,,,,,,
motion-onset veps,,,,,,
motivated attention,,,,,,
motivated social cognition,,,,,,
motivation,,,,,,
motivation-structural rules,,,,,,
motivational behavior,,,,,,
motivational humor,,,,,,
motivational influences,,,,,,
motor,,,,,,
motor actions,,,,,,
motor area,,,,,,
motor areas,,,,,,
motor chunks,,,,,,
motor cognition,,,,,,
motor control,,,,,,
motor cortex,,,,,,
motor cortex excitability,,,,,,
motor cortical outputs,,,,,,
motor deficit,,,,,,
motor dysfunction,,,,,,
motor effort,,,,,,
motor enhancement,,,,,,
motor evoked potential (mep),,,,,,
motor evoked potentials,,,,,,
motor facilitation,,,,,,
motor function,,,,,,
motor functions,,,,,,
motor imagery,,,,,,
motor inhibition,,,,,,
motor intention,,,,,,
motor learning,,,,,,
motor memory,,,,,,
motor mirroring,,,,,,
motor network,,,,,,
motor neuron disease,,,,,,
motor performance,,,,,,
motor potential,,,,,,
motor prediction,,,,,,
motor preparation,,,,,,
motor priming,,,,,,
motor recovery,,,,,,
motor resonance,,,,,,
motor simulation,,,,,,
motor skill,,,,,,
motor speed,,,,,,
motor symptoms,,,,,,
motor system,,,,,,
motor task,,,,,,
motor thalamus,,,,,,
motor training,,,,,,
motor-control,,,,,,
motor-sequence,,,,,,
motor-skills,,,,,,
mouth,,,,,,
movement,,,,,,
movement features,,,,,,
movement interference,,,,,,
movement observation,,,,,,
movement patterns,,,,,,
movement planning,,,,,,
movement sequences,,,,,,
movement synchrony,,,,,,
movements,,,,,,
movie,,,,,,
movies,,,,,,
moving faces,,,,,,
moving targets,,,,,,
mpfc,,,,,,
mppc,,,,,,
mr statistics,,,,,,
mr-focuss,,,,,,
mrc psycholinguistic database,,,,,,
mri,,,,,,
mri imaging,,,,,,
mri studies,,,,,,
mri-compatible robotic devices,,,,,,
mri-contrast agents,,,,,,
mrs,,,,,,
msceit v2.0,,,,,,
mtbi,,,,,,
mtg,,,,,,
mu,,,,,,
mu-activity,,,,,,
mu-opioid receptor,,,,,,
mu-opioid-receptor,,,,,,
mulatta,,,,,,
multi voxel pattern analysis (mvpa),,,,,,
multi-brain network,,,,,,
multi-distance,,,,,,
multi-echo,,,,,,
multi-echo epi,,,,,,
multi-level glm,,,,,,
multi-sensory,,,,,,
multi-variate pattern analysis,,,,,,
multi-voxel,,,,,,
multi-voxel pattern analysis,,,,,,
multi-voxel pattern analysis (mvpa),,,,,,
multiattribute decision-making,,,,,,
multicenter,,,,,,
multicenter fmri,,,,,,
multichannel coding,,,,,,
multiconcept propositions,,,,,,
multidimensional approach,,,,,,
multidimensional scaling,,,,,,
multiethnic cohort,,,,,,
multilingual aphasia,,,,,,
multilingualism,,,,,,
multimodal assessment,,,,,,
multimodal brain imaging,,,,,,
multimodal imaging,,,,,,
multimodal integration,,,,,,
multimodality,,,,,,
multiple comparison correction,,,,,,
multiple comparisons,,,,,,
multiple demand network,,,,,,
multiple hypothesis testing,,,,,,
multiple linear regression model,,,,,,
multiple perspectives,,,,,,
multiple regression analysis,,,,,,
multiple routes,,,,,,
multiple sclerosis,,,,,,
multiple systems,,,,,,
multiple systems hypothesis,,,,,,
multiple trial types,,,,,,
multiple-demand network,,,,,,
multiple-frequency bands,,,,,,
multiple-output regression,,,,,,
multiple-sclerosis,,,,,,
multiple-system models,,,,,,
multiplication,,,,,,
multiplication facts,,,,,,
multisensory,,,,,,
multisensory brain,,,,,,
multisensory cues,,,,,,
multisensory integration,,,,,,
multisensory interactions,,,,,,
multisensory mechanisms,,,,,,
multisensory perception,,,,,,
multisensory processing,,,,,,
multisource interference task,,,,,,
multivariate,,,,,,
multivariate analyses,,,,,,
multivariate analysis,,,,,,
multivariate autoregressive models/,,,,,,
multivariate bayes,,,,,,
multivariate decoding,,,,,,
multivariate distance matrix regression,,,,,,
multivariate pattern analysis,,,,,,
multivariate pattern analysis (mvpa),,,,,,
multivariate pattern classification,,,,,,
multivariate pattern-analysis,,,,,,
multivariate pattern-classification,,,,,,
multivariate statistics,,,,,,
multivariate time-series,,,,,,
multivariate-analysis,,,,,,
multivoxel connectivity analysis (mvca),,,,,,
multivoxel pattern analysis,,,,,,
multivoxel pattern analysis (mvpa),,,,,,
murderers,,,,,,
muscle relaxation,,,,,,
museum exhibitions,,,,,,
music,,,,,,
music cognition,,,,,,
music correlate,,,,,,
music imagery,,,,,,
music learning,,,,,,
music memory,,,,,,
music perception,,,,,,
music processing,,,,,,
music therapy,,,,,,
music-supported intervention,,,,,,
music-therapy,,,,,,
musical emotion,,,,,,
musical ensemble performance,,,,,,
musical expertise,,,,,,
musical features,,,,,,
musical imagery,,,,,,
musical improvisation,,,,,,
musical rhythms,,,,,,
musical training,,,,,,
musical training shapes,,,,,,
musician,,,,,,
musicians,,,,,,
mutual funds,,,,,,
mutual gaze,,,,,,
mvpa,,,,,,
myelination,,,,,,
myopia,,,,,,
maastricht acute stress test (mast),,,,,,
n-back,,,,,,
n-back task,,,,,,
na-23 magnetic resonance imaging,,,?,,,
nacc,,,,,,
naltrexone,,,,,,
name agreement,,,,,,
name associations,,,,,,
naming actions,,,,,,
naming evidence,,,,,,
narcissism,,,,,,
narrative,,,,,,
narrative comprehension,,,,,,
narrative nowness,,,,,,
narrative processing,,,,,,
nasal,,,,,,
nasal-mucosa,,,,,,
national security,,,,,,
national survey,,,,,,
native language,,,,,,
native-like,,,,,,
nativism,,,,,,
natural behavior,,,,,,
natural film viewing,,,,,,
natural images,,,,,,
natural kinds,,,,,,
natural language processing,,,,,,
natural movies,,,,,,
natural scenes,,,,,,
natural stimulation,,,,,,
natural vision,,,,,,
naturalistic,,,,,,
naturalistic cognition,,,,,,
naturalistic neuroscience,,,,,,
naturalistic observation,,,,,,
naturalistic paradigm,,,,,,
naturalistic scene,,,,,,
naturalistic viewing,,,,,,
nature of lying,,,,,,
nature scenes,,,,,,
navigation,,,,,,
ncm,,,,,,
near-miss,,,,,,
need,,,,,,
need fulfillment,,,,,,
need threat,,,,,,
negation,,,,,,
negative,,,,,,
negative affect,,,,,,
negative affects,,,,,,
negative choice,,,,,,
negative correlations,,,,,,
negative emotion,,,,,,
negative emotionality,,,,,,
negative emotions,,,,,,
negative facial expressions,,,,,,
negative feedback,,,,,,
negative images,,,,,,
negative mood,,,,,,
negative moods,,,,,,
negative self-model,,,,,,
negative urgency,,,,,,
negative-mood,,,,,,
negativity,,,,,,
negativity bias,,,,,,
neglect,,,,,,
negotiations,,,,,,
neighborhood ses,,,,,,
neo-ffi,,,,,,
neocortex size,,,,,,
neonatal amygdala,,,,,,
neonatal development,,,,,,
neonatal imitation,,,,,,
neonatal stress,,,,,,
neostriatum,,,,,,
nerve,,,,,,
nerve-stimulation,,,,,,
nervous-system,,,,,,
network,,,,,,
network activity,,,,,,
network alternation,,,,,,
network analysis,,,,,,
network connectivity,,,,,,
network dynamics,,,,,,
network efficiency,,,,,,
network model,,,,,,
network organization,,,,,,
network plasticity,,,,,,
network size,,,,,,
network structure,,,,,,
network-based statistics,,,,,,
networks,,,,,,
neural,,,,,,
neural activation,,,,,,
neural activity,,,,,,
neural adaptation,,,,,,
neural alignment,,,,,,
neural bases,,,,,,
neural basis,,,,,,
neural circuitry,,,,,,
neural code,,,,,,
neural computation,,,,,,
neural correlate,,,,,,
neural correlates,,,,,,
neural correlates of consciousness,,,,,,
neural decoding,,,,,,
neural dynamics,,,,,,
neural efficiency,,,,,,
neural ensembles,,,,,,
neural framework,,,,,,
neural global pattern similarity,,,,,,
neural integration,,,,,,
neural measures,,,,,,
neural mechanisms,,,,,,
neural network,,,,,,
neural network model,,,,,,
neural noise,,,,,,
neural organization,,,,,,
neural pattern similarity,,,,,,
neural plasticity,,,,,,
neural processes,,,,,,
neural reactivation,,,,,,
neural reactivity,,,,,,
neural representation,,,,,,
neural representations,,,,,,
neural resonance,,,,,,
neural response,,,,,,
neural responses,,,,,,
neural reuse,,,,,,
neural reward regions,,,,,,
neural signals,,,,,,
neural signatures,,,,,,
neural substrate,,,,,,
neural substrates,,,,,,
neural synchronization,,,,,,
neural system,,,,,,
neural systems,,,,,,
neural trait,,,,,,
neural variability,,,,,,
neural-control,,,,,,
neural-network,,,,,,
neural-network model,,,,,,
neural-networks,,,,,,
neuro-collaboration,,,,,,
neuroaesthetics,,,,,,
neuroanatomy,,,,,,
neuroanthropology,,,,,,
neurobiological basis,,,,,,
neurobiological mechanisms,,,,,,
neurobiology,,,,,,
neurochemistry,,,,,,
neurocognition,,,,,,
neurocognitive development,,,,,,
neurocognitive poetics,,,,,,
neurocriminology,,,,,,
neurodegenerative disease,,,,,,
neurodegenerative diseases,,,,,,
neurodevelopment,,,,,,
neurodevelopmental changes,,,,,,
neurodevelopmental outcomes,,,,,,
neuroeconomics,,,,,,
neuroesthetics,,,,,,
neuroethics,,,,,,
neurofeedback,,,,,,
neurofunctional model,,,,,,
neurofunctional predictors,,,,,,
neurogenesis,,,,,,
neurogenic detrusor overactivity,,,,,,
neurohumanities,,,,,,
neurohype,,,,,,
neuroimaging,,,,,,
neuroimaging data,,,,,,
neuroimaging evidence,,,,,,
neuroimaging findings,,,,,,
neuroimaging genetics,,,,,,
neuroimaging meta-analysis,,,,,,
neuroimaging metaanalysis,,,,,,
neuroimaging paradigms,,,,,,
neuroimaging research,,,,,,
neurois,,,,,,
neurolaw,,,,,,
neurolinguistics,,,,,,
neuromanagement,,,,,,
neuromarketing,,,,,,
neuromodulation,,,,,,
neuromuscular stimulation,,,,,,
neuron system,,,,,,
neuronal,,,,,,
neuronal migration,,,,,,
neuronal network remodelling,,,,,,
neuronal networks,,,,,,
neuronal oscillations,,,,,,
neuronal plasticity,,,,,,
neuronal response,,,,,,
neuronal responses,,,,,,
neuronal specificity,,,,,,
neuronal synchronization,,,,,,
neuronal-activity,,,,,,
neuronimaging,,,,,,
neuronitis,,,,,,
neurons,,,,,,
neuropathic pain,,,,,,
neuropathy,,,,,,
neuropeptide,,,,,,
neuropeptides,,,,,,
neurophenomenology,,,,,,
neurophilosophy,,,,,,
neurophysiology education,,,,,,
neuroplasticity,,,,,,
neuropolitics,,,,,,
neuropragmatics,,,,,,
neuropsychological assessment,,,,,,
neuropsychological deficits,,,,,,
neuropsychological evidence,,,,,,
neuropsychological test-performance,,,,,,
neuropsychological testing,,,,,,
neuropsychology,,,,,,
neurorehabilitation,,,,,,
neuroscience,,,,,,
neuroscience and human agency,,,,,,
neuroscience and strategy,,,,,,
"neuroscience and the ""two cultures""",,,,,,
neuroscience and volition,,,,,,
neuroscience perspective,,,,,,
neuroskepticism,,,,,,
neurosociology,,,,,,
neuroticism,,,,,,
neuroticism trait,,,,,,
neurotransmitters,,,,,,
neurotrophic factor,,,,,,
neurovascular coupling,,,,,,
neurovisceral integration,,,,,,
neutral faces,,,,,,
new biocriminology,,,,,,
new media,,,,,,
new media text,,,,,,
new-world primate,,,,,,
newborn,,,,,,
newborn brain,,,,,,
newborn-infants preference,,,,,,
newly learned faces,,,,,,
nicotine,,,,,,
nicotine delivery,,,,,,
nicotine dependence,,,,,,
nicotinic acetylcholine receptor,,,,,,
nicotinic acetylcholine-receptors,,,,,,
nipple,,,,,,
no-go,,,,,,
nociception,,,,,,
nociceptive neurons,,,,,,
node centrality,,,,,,
nogo,,,,,,
noise,,,,,,
noise reduction,,,,,,
non,,,,,,
non-bold signals,,,,,,
non-canonical word-order,,,,,,
non-conscious perception,,,,,,
non-factive verb,,,,,,
non-informative cues,,,,,,
non-linear dcm,,,,,,
non-musicians,,,,,,
non-romantic love,,,,,,
non-verbal behavior,,,,,,
non-verbal communication,,,,,,
non-verbal reasoning,,,,,,
nonagenarian siblings,,,,,,
nonclinical sample,,,,,,
nonconcave penalized likelihood,,,,,,
nonconscious mimicry,,,,,,
nondaily smoker,,,,,,
nonhuman primate,,,,,,
nonhuman-primates,,,,,,
noninvasive brain-stimulation,,,,,,
noninvasive cortical stimulation,,,,,,
nonlinear,,,,,,
nonlinear estimation,,,,,,
nonlinear simulation,,,,,,
nonlinear-interaction,,,,,,
nonmedical use,,,,,,
nonmotor symptoms,,,,,,
nonparametric bayes,,,,,,
nonparametric problems,,,,,,
nonparametric source dynamics,,,,,,
nonpharmacological interventions,,,,,,
nonsense,,,,,,
nonsmokers,,,,,,
nonspeech,,,,,,
nonstuttering adults,,,,,,
nonsuicidal self-injury,,,,,,
nonverbal,,,,,,
nonverbal behavior,,,,,,
nonverbal communication,,,,,,
nonverbal cues,,,,,,
nonverbal task,,,,,,
nonwhite noise,,,,,,
nonword repetition,,,,,,
noradrenergic activity,,,,,,
noradrenergic modulation,,,,,,
noradrenergic system,,,,,,
norepinephrine transporter,,,,,,
norm compliance,,,,,,
norm enforcement,,,,,,
norm violation,,,,,,
norm violations,,,,,,
normal adults,,,,,,
normal development,,,,,,
normal emotion,,,,,,
normal pediatric population,,,,,,
normal sexual-dimorphism,,,,,,
normal volunteers,,,,,,
normal-binomial,,,,,,
normal-weight,,,,,,
normalization,,,,,,
normalized spectral clustering,,,,,,
normative data,,,,,,
normative ethics,,,,,,
normative influence,,,,,,
normative values,,,,,,
norms,,,,,,
north american football,,,,,,
nostalgia,,,,,,
noun,,,,,,
nouns,,,,,,
novel,,,,,,
novel metaphors,,,,,,
novelty,,,,,,
novelty detection,,,,,,
novelty responses,,,,,,
novelty seeking,,,,,,
novice,,,,,,
novice drivers,,,,,,
noxious heat,,,,,,
noxious stimuli,,,,,,
noxious-stimulation,,,,,,
ntms,,,,,,
nuclear-magnetic-resonance,,,,,,
nuclei,,,,,,
nucleus,,,,,,
nucleus accumbens,,,,,,
nucleus accumbens (nac),,,,,,
nucleus-accumbens,,,,,,
nucleus-accumbens activation,,,,,,
nucleus-accumbens core,,,,,,
nucleus-accumbens neurons,,,,,,
nucleus-accumbens oxytocin,,,,,,
nudging,,,,,,
null-hypothesis,,,,,,
number,,,,,,
number representation,,,,,,
number sense,,,,,,
number symbols,,,,,,
number words,,,,,,
numeracy,,,,,,
numerical abilities,,,,,,
numerical cognition,,,,,,
numerical distance effect,,,,,,
numerical inequality,,,,,,
numerical magnitude,,,,,,
numerical processing,,,,,,
numerical surface form,,,,,,
nurture,,,,,,
nurturing,,,,,,
obese children,,,,,,
obese individuals,,,,,,
obesity,,,,,,
object,,,,,,
object and pattern recognition,,,,,,
object categorization,,,,,,
object color knowledge,,,,,,
object concepts,,,,,,
object identification,,,,,,
object identity,,,,,,
object individuation,,,,,,
object location,,,,,,
object location memory,,,,,,
object manipulation,,,,,,
object mobility databases,,,,,,
object nouns,,,,,,
object pairs,,,,,,
object perception,,,,,,
object processing,,,,,,
object recognition,,,,,,
object relations,,,,,,
object representations,,,,,,
object shape,,,,,,
object use,,,,,,
object working-memory,,,,,,
object-files,,,,,,
object-location associations,,,,,,
object-processing stages,,,,,,
objects,,,,,,
obligation,,,,,,
observation,,,,,,
observation of pain,,,,,,
observational data,,,,,,
observational learning,,,,,,
observed pain,,,,,,
observer sensitivity,,,,,,
obstructive interaction,,,,,,
obstructive sleep apnea,,,,,,
occipital cortex,,,,,,
occipital face area,,,,,,
occipital face area (ofa),,,,,,
occipital lobe,,,,,,
occipito-temporal cortex,,,,,,
occipitotemporal,,,,,,
occipitotemporal cortex,,,,,,
occupational choice,,,,,,
occupational therapy,,,,,,
octodon-degus,,,,,,
ocular dominance,,,,,,
oculomotor capture,,,,,,
oddball,,,,,,
oddball task,,,,,,
odor,,,,,,
odor discrimination,,,,,,
odor identification,,,,,,
odor quality,,,,,,
odors,,,,,,
of-body experience,,,,,,
of-body experiences,,,,,,
of-knowing judgments,,,,,,
of-mouth communication,,,,,,
of-the-literature,,,,,,
ofa,,,,,,
ofc,,,,,,
offenders,,,,,,
old-age,,,,,,
older,,,,,,
older adult,,,,,,
older adults,,,,,,
older persons,,,,,,
older-adults,,,,,,
olfaction,,,,,,
olfactometer,,,,,,
olfactory,,,,,,
olfactory cognition,,,,,,
olfactory conditioning,,,,,,
olfactory epithelium,,,,,,
olfactory fmri,,,,,,
olfactory memory,,,,,,
olfactory recognition memory,,,,,,
olfactory system,,,,,,
omission,,,,,,
one night,,,,,,
ongoing activity fluctuations,,,,,,
ongoing reality,,,,,,
online,,,,,,
online activation,,,,,,
online language,,,,,,
